-148, -1448, 13856, 16337, 1148, -25655, 7632, -1868, 26376, 3229, 5489, -19464, 4112, 2180, 17212, 4992, 2978, -21417, 4928, 2720, 16468, 7933, 1891, -24225, 6156, 2836, 15864, 9458, 3208, -27442, 4768, 2184, 15672, 10044, 4140, -30253, 3336, 972, 15688, 11975, 3242, -31894, 2076, 508, 14664, 13417, 2641, -32512, 32, -548, 14656, 14200, 1390, -32512, -660, -936, 13740, 15830, 688, -31479
-1520, -996, 13976, 13678, -563, -30430, 11464, 68, 30572, 5291, 712, -18548, 9232, 3436, 14224, 2930, 819, -23107, 10412, 2116, 13392, 1690, 1163, -29980, 6624, 932, 14572, 1374, 232, -32512, 2724, -4, 15356, 3683, -2342, -32512, 60, -268, 15616, 7038, -5139, -32512, -696, -1064, 15108, 9527, -6832, -32179, -744, -1996, 14352, 10672, -7155, -29699, -304, -3288, 13752, 10469, -6770, -27523
-1200, -3772, 13680, 7682, -5964, -26597, 10572, 496, 30008, 4180, 2330, -17208, 5956, 4096, 16012, 3197, 690, -20444, 5572, 3348, 14652, 4320, -1147, -23099, 4128, 2884, 14920, 4946, -2504, -24057, 3652, 2016, 14708, 5649, -3569, -24257, 3116, 2136, 14420, 5966, -4207, -24450, 2656, 172, 14364, 5512, -5189, -24857, 2088, -768, 14736, 6744, -5335, -24874, 448, -1636, 15528, 8592, -7532, -23356
740, -1916, 14852, 8836, -8221, -22844, 7448, 816, 25688, 4915, 1972, -9438, 5708, 3708, 15556, 3434, 1143, -10872, 7296, 3836, 14976, 3198, 585, -14082, 7368, 4212, 15424, 2788, 411, -17804, 7076, 3892, 15844, 2616, 67, -21433, 5428, 3496, 16428, 2745, -418, -24045, 4768, 2440, 16232, 4146, 159, -25141, 3412, 1212, 16808, 6137, -947, -25368, 4228, -284, 16512, 7303, -960, -26434
3340, -1872, 16440, 8240, -873, -27732, 7028, 492, 25480, 3462, 856, -12344, 5656, 4840, 17352, 4104, 650, -14230, 6472, 4428, 16276, 5218, 481, -17106, 5636, 4624, 16440, 5880, 138, -19448, 6024, 4004, 16208, 6394, -319, -21371, 4820, 2984, 16940, 7846, -1788, -23196, 4272, 1404, 16700, 9465, -2885, -24779, 3064, 20, 16904, 11463, -3843, -25567, 2340, -1240, 16528, 12783, -4807, -25748
1304, -2184, 16088, 13924, -5386, -25392, 7332, 1024, 32744, 3434, 477, -9124, 4840, 6052, 16904, 2854, 316, -9326, 6508, 5936, 15684, 3053, 654, -11062, 6448, 5236, 15716, 2987, 734, -13258, 5920, 4280, 15636, 3459, 160, -15722, 4980, 2936, 16100, 4394, -895, -17569, 3816, 2452, 15104, 4505, -1840, -18810, 3080, 1000, 15764, 6387, -1978, -19080, 1244, -20, 15916, 7848, -4239, -18240
1168, -880, 15436, 9199, -5146, -17896, 7504, -1792, 32767, 7903, -12, -17400, 3208, 1980, 17560, 8821, -2019, -16925, 3776, 1252, 15988, 10257, -3356, -17389, 3656, 1400, 15756, 10429, -3444, -17557, 3456, 764, 15124, 9801, -3198, -18025, 2628, 744, 14980, 7614, -3460, -18288, 1840, -804, 16116, 9128, -3279, -18079, 644, -1552, 16120, 9966, -5316, -17346, 880, -2260, 15788, 11260, -5932, -17253
436, -3184, 15208, 11833, -6760, -17086, 9332, 1148, 32540, 1296, -886, -7989, 6300, 3480, 15516, 751, -1535, -9184, 7036, 3144, 15300, 1759, -1984, -10797, 6880, 2732, 15692, 2053, -2149, -12559, 7808, 2156, 15824, 2473, -1855, -14977, 7336, 2040, 15716, 2885, -1326, -17830, 6160, 1272, 16240, 3426, -1630, -20264, 4896, 36, 15680, 5632, -1765, -21601, 3352, -84, 16016, 5792, -2801, -22103
1452, -1888, 16820, 9759, -4527, -21554, 9264, 1300, 31216, 3166, 2067, -3222, 7244, 3996, 16100, 1610, 1090, -4596, 8196, 4176, 15232, 1400, 558, -7257, 7480, 3936, 15180, 1729, 37, -9988, 6720, 3592, 14784, 2593, -783, -12618, 5800, 2748, 14900, 3465, -1922, -15000, 5112, 2204, 14680, 4499, -3012, -16483, 4512, 1576, 14856, 5056, -3899, -17535, 4004, 768, 15064, 5583, -4485, -18539
3264, -164, 14968, 6172, -5076, -19437, 4952, -952, 24076, 5168, 1504, -3336, 4996, 2420, 13992, 1684, 2219, -6814, 6816, 3124, 13480, 501, 2679, -12395, 7592, 2808, 14300, -97, 1417, -18592, 9036, 3292, 13940, -18, 1741, -26804, 7856, 1952, 14548, 478, 1092, -32512, 4180, 1128, 15344, 2359, 418, -32512, 1980, 84, 16008, 5016, -256, -32512, 1676, -220, 15320, 7552, 283, -32512
